series,episode,episode_title,task_number,task_title,task_type,points,points_desc,panellist_full_name,task_type_general,episode_airing,pannelist_id,birthday,gender,origin
1,1,Melon Buffet,2,In the lab there is a watermelon. Eat as much watermelon as possible. You have one minute. Your time starts when you open the door to the lab.,Task 1,2,179g,Frank Skinner,Task,28 July 2015,1-1,28-Jan-1957,male,UK
1,1,Melon Buffet,3,"Paint the best picture of a horse, whilst riding a horse.",Task 2,5,,Frank Skinner,Task,28 July 2015,1-1,28-Jan-1957,male,UK
1,1,Melon Buffet,4,"Completely empty this bathtub. Fastest wins. You must not remove the plug, tip or damage the bath. Your time starts now.",Task 3,4,7:42,Frank Skinner,Task,28 July 2015,1-1,28-Jan-1957,male,UK
1,1,Melon Buffet,5,"Pop up a tent, get in the tent, zip up the tent, put on a onesie in the tent, and emerge from the tent wearing the onesie. Fastest wins.",Live Task,4,,Frank Skinner,Live Task,28 July 2015,1-1,28-Jan-1957,male,UK
1,1,Melon Buffet,7,Find Alex. Fastest wins. Your time starts now.,Tie-break task,Winner,1:50,Frank Skinner,Tie-break Task,28 July 2015,1-1,28-Jan-1957,male,UK
1,2,The Pie Whisperer,1,Most impressive item.,Prize task,4,A leather Christmas cracker hat.,Frank Skinner,Prize Task,4 August 2015,1-1,28-Jan-1957,male,UK
1,2,The Pie Whisperer,2,High-five a 55-year-old. Fastest wins. Your time starts now.,Task 1,2,12:44 to high-five two 27-year-olds and a 1-year-old.,Frank Skinner,Task,4 August 2015,1-1,28-Jan-1957,male,UK
1,2,The Pie Whisperer,3,"Identify the contents of these pies. You may touch the pies, but you may not breach their pastry. Most accurate wins. Your time starts now.",Task 2,1,,Frank Skinner,Task,4 August 2015,1-1,28-Jan-1957,male,UK
1,2,The Pie Whisperer,4,"Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards, that will look impressive when the footage is played in reverse. Your time starts now.",Task 3,1,,Frank Skinner,Task,4 August 2015,1-1,28-Jan-1957,male,UK
1,2,The Pie Whisperer,5,"Crack the code, unshackle yourself and sprint one metre. Fastest wins.",Live Task,1,,Frank Skinner,Live Task,4 August 2015,1-1,28-Jan-1957,male,UK
1,3,The Poet And The Egg,1,Most meaningful item.,Prize task,4,His son's hobby horse.,Frank Skinner,Prize Task,11 August 2015,1-1,28-Jan-1957,male,UK
1,3,The Poet And The Egg,2,Throw a teabag into a mug from the furthest distance. You have exactly one hour. Your time starts now.,Task 1,4,10.04m,Frank Skinner,Task,11 August 2015,1-1,28-Jan-1957,male,UK
1,3,The Poet And The Egg,3,"Using this device to track your route, create the best image for Taskmaster. You have one hour. Your time starts when you take your first step. Pop a balloon to signal you have finished your image.",Task 2,2,,Frank Skinner,Task,11 August 2015,1-1,28-Jan-1957,male,UK
1,3,The Poet And The Egg,4,Buy a gift for the Taskmaster. Here is £20. You have ten weeks. Your time starts now.,Task 3,3,Shades with wing mirrors in them that allow Greg to see behind him.,Frank Skinner,Task,11 August 2015,1-1,28-Jan-1957,male,UK
1,3,The Poet And The Egg,5,"Using only the items currently on this table, get this egg as high as possible. Highest wins. The egg must not break. You have 20 minutes. Your time starts now.",Task 4,0,All break the egg.,Frank Skinner,Task,11 August 2015,1-1,28-Jan-1957,male,UK
1,3,The Poet And The Egg,6,Stand up after 100 seconds. Most accurate wins.,Live Task,2,,Frank Skinner,Live Task,11 August 2015,1-1,28-Jan-1957,male,UK
1,4,Down An Octave,1,Most beautiful item.,Prize task,3,A country mouse-themed vacuum cleaner cover.,Frank Skinner,Prize Task,18 August 2015,1-1,28-Jan-1957,male,UK
1,4,Down An Octave,2,Make this ice block disappear as fast as possible. You have one hour. Your time starts now.,Task 1,4,27:28,Frank Skinner,Task,18 August 2015,1-1,28-Jan-1957,male,UK
1,4,Down An Octave,5,Get to 11 points as fast as possible. Your time starts now.,Task 2 (Team Task),1,18:01,Frank Skinner,Team Task,18 August 2015,1-1,28-Jan-1957,male,UK
1,4,Down An Octave,6,Fill an eggcup with as many tears as possible. You have 20 minutes. Your time starts now.,Task 3,5,12,Frank Skinner,Task,18 August 2015,1-1,28-Jan-1957,male,UK
1,4,Down An Octave,8,Memorise the names of an Australian rules football team. Most accurate wins.,Live Task,1,1,Frank Skinner,Live Task,18 August 2015,1-1,28-Jan-1957,male,UK
1,5,Little Denim Shorts,1,Most valuable item.,Prize task,4,"A ring worth £3,995.",Frank Skinner,Prize Task,25 August 2015,1-1,28-Jan-1957,male,UK
1,5,Little Denim Shorts,2,Get this boulder as far away from this place as possible. You have one hour. Your time starts now.,Task 1,4,6.5 miles.,Frank Skinner,Task,25 August 2015,1-1,28-Jan-1957,male,UK
1,5,Little Denim Shorts,3,Grow the longest nail. You have 10 weeks. Your time starts now.,Task 2,3,2.1cm,Frank Skinner,Task,25 August 2015,1-1,28-Jan-1957,male,UK
1,5,Little Denim Shorts,4,Make this bed to a hotel standard while holding hands. The time ends when you get into the bed. Fastest wins. Hold hands now. Your time starts now.,Task 3 (Team Task),2,10:57,Frank Skinner,Team Task,25 August 2015,1-1,28-Jan-1957,male,UK
1,5,Little Denim Shorts,5,Make this Swedish person blush as deeply as possible. You have 10 minutes. Your time starts now.,Task 4,3,,Frank Skinner,Task,25 August 2015,1-1,28-Jan-1957,male,UK
1,5,Little Denim Shorts,6,Blow up the biggest balloon whilst blindfolded. You have 100 seconds and one balloon.,Live Task,4,,Frank Skinner,Live Task,25 August 2015,1-1,28-Jan-1957,male,UK
1,6,The Last Supper,1,Most satisfying item.,Prize task,2,"An esure.com stress ball, which plays the voice of the late Michael Winner when the ball's squeezed.",Frank Skinner,Prize Task,1 September 2015,1-1,28-Jan-1957,male,UK
1,6,The Last Supper,2,Get the lowest golf score using eggs. You must complete the five holes using chickens eggs. Your score will be calculated as follows: shots times eggs times minutes. Your time starts now.,Task 1,4,"1,096 points",Frank Skinner,Task,1 September 2015,1-1,28-Jan-1957,male,UK
1,6,The Last Supper,3,Stage a realistic blooper from a home movie. The Taskmaster will give points to the best filmmakers. You have one hour. Your time starts now.,Task 2 (Team Task),2,,Frank Skinner,Team Task,1 September 2015,1-1,28-Jan-1957,male,UK
1,6,The Last Supper,4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet. You have a total of two hours. Your time starts now.,Task 3,5,,Frank Skinner,Task,1 September 2015,1-1,28-Jan-1957,male,UK
1,6,The Last Supper,5,"Wearing boxing gloves, put the blue sweets in the empty bowl. Most blue sweets wins. Non-blue sweets will be subtracted from your total. You have 100 seconds.",Live Task,3,11,Frank Skinner,Live Task,1 September 2015,1-1,28-Jan-1957,male,UK
1,1,Melon Buffet,1,Most unusual item.,Prize task,3,A snow globe featuring pictures of his children.,Romesh Ranganathan,Prize Task,28 July 2015,1-4,27-Mar-1978,male,UK
1,1,Melon Buffet,2,In the lab there is a watermelon. Eat as much watermelon as possible. You have one minute. Your time starts when you open the door to the lab.,Task 1,5,301g,Romesh Ranganathan,Task,28 July 2015,1-4,27-Mar-1978,male,UK
1,1,Melon Buffet,3,"Paint the best picture of a horse, whilst riding a horse.",Task 2,4,,Romesh Ranganathan,Task,28 July 2015,1-4,27-Mar-1978,male,UK
1,1,Melon Buffet,4,"Completely empty this bathtub. Fastest wins. You must not remove the plug, tip or damage the bath. Your time starts now.",Task 3,5,2:50,Romesh Ranganathan,Task,28 July 2015,1-4,27-Mar-1978,male,UK
1,1,Melon Buffet,5,"Pop up a tent, get in the tent, zip up the tent, put on a onesie in the tent, and emerge from the tent wearing the onesie. Fastest wins.",Live Task,2,,Romesh Ranganathan,Live Task,28 July 2015,1-4,27-Mar-1978,male,UK
1,1,Melon Buffet,7,Find Alex. Fastest wins. Your time starts now.,Tie-break task,,2:27,Romesh Ranganathan,Tie-break Task,28 July 2015,1-4,27-Mar-1978,male,UK
1,2,The Pie Whisperer,1,Most impressive item.,Prize task,1,An Arsenal cap thrown from the Arsenal tour bus.,Romesh Ranganathan,Prize Task,4 August 2015,1-4,27-Mar-1978,male,UK
1,2,The Pie Whisperer,2,High-five a 55-year-old. Fastest wins. Your time starts now.,Task 1,1,An hour to high-five a 50-year-old.,Romesh Ranganathan,Task,4 August 2015,1-4,27-Mar-1978,male,UK
1,2,The Pie Whisperer,3,"Identify the contents of these pies. You may touch the pies, but you may not breach their pastry. Most accurate wins. Your time starts now.",Task 2,3,,Romesh Ranganathan,Task,4 August 2015,1-4,27-Mar-1978,male,UK
1,2,The Pie Whisperer,4,"Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards, that will look impressive when the footage is played in reverse. Your time starts now.",Task 3,5,,Romesh Ranganathan,Task,4 August 2015,1-4,27-Mar-1978,male,UK
1,2,The Pie Whisperer,5,"Crack the code, unshackle yourself and sprint one metre. Fastest wins.",Live Task,4,,Romesh Ranganathan,Live Task,4 August 2015,1-4,27-Mar-1978,male,UK
1,3,The Poet And The Egg,1,Most meaningful item.,Prize task,5,His wedding ring.,Romesh Ranganathan,Prize Task,11 August 2015,1-4,27-Mar-1978,male,UK
1,3,The Poet And The Egg,2,Throw a teabag into a mug from the furthest distance. You have exactly one hour. Your time starts now.,Task 1,3,8.5m,Romesh Ranganathan,Task,11 August 2015,1-4,27-Mar-1978,male,UK
1,3,The Poet And The Egg,3,"Using this device to track your route, create the best image for Taskmaster. You have one hour. Your time starts when you take your first step. Pop a balloon to signal you have finished your image.",Task 2,4,,Romesh Ranganathan,Task,11 August 2015,1-4,27-Mar-1978,male,UK
1,3,The Poet And The Egg,4,Buy a gift for the Taskmaster. Here is £20. You have ten weeks. Your time starts now.,Task 3,2,A picture of Greg as an angel with duck feet.,Romesh Ranganathan,Task,11 August 2015,1-4,27-Mar-1978,male,UK
1,3,The Poet And The Egg,5,"Using only the items currently on this table, get this egg as high as possible. Highest wins. The egg must not break. You have 20 minutes. Your time starts now.",Task 4,4,1.11m,Romesh Ranganathan,Task,11 August 2015,1-4,27-Mar-1978,male,UK
1,3,The Poet And The Egg,6,Stand up after 100 seconds. Most accurate wins.,Live Task,4,,Romesh Ranganathan,Live Task,11 August 2015,1-4,27-Mar-1978,male,UK
1,3,The Poet And The Egg,8,Give Frank Skinner's age in minutes. Closest wins.,Tie-break task,,"150,000 - Frank was 30,505,028 minutes old at the time",Romesh Ranganathan,Tie-break Task,11 August 2015,1-4,27-Mar-1978,male,UK
1,4,Down An Octave,1,Most beautiful item.,Prize task,1,A statuette symbolising the love between mother and child.,Romesh Ranganathan,Prize Task,18 August 2015,1-4,27-Mar-1978,male,UK
1,4,Down An Octave,2,Make this ice block disappear as fast as possible. You have one hour. Your time starts now.,Task 1,2,47:30 to make most of it disappear.,Romesh Ranganathan,Task,18 August 2015,1-4,27-Mar-1978,male,UK
1,4,Down An Octave,5,Get to 11 points as fast as possible. Your time starts now.,Task 2 (Team Task),2,11:12,Romesh Ranganathan,Team Task,18 August 2015,1-4,27-Mar-1978,male,UK
1,4,Down An Octave,6,Fill an eggcup with as many tears as possible. You have 20 minutes. Your time starts now.,Task 3,4,10,Romesh Ranganathan,Task,18 August 2015,1-4,27-Mar-1978,male,UK
1,4,Down An Octave,8,Memorise the names of an Australian rules football team. Most accurate wins.,Live Task,1,1,Romesh Ranganathan,Live Task,18 August 2015,1-4,27-Mar-1978,male,UK
1,5,Little Denim Shorts,1,Most valuable item.,Prize task,3,A Peugeot 407 worth £590.,Romesh Ranganathan,Prize Task,25 August 2015,1-4,27-Mar-1978,male,UK
1,5,Little Denim Shorts,2,Get this boulder as far away from this place as possible. You have one hour. Your time starts now.,Task 1,2,1.75 miles.,Romesh Ranganathan,Task,25 August 2015,1-4,27-Mar-1978,male,UK
1,5,Little Denim Shorts,3,Grow the longest nail. You have 10 weeks. Your time starts now.,Task 2,4,2.2cm,Romesh Ranganathan,Task,25 August 2015,1-4,27-Mar-1978,male,UK
1,5,Little Denim Shorts,4,Make this bed to a hotel standard while holding hands. The time ends when you get into the bed. Fastest wins. Hold hands now. Your time starts now.,Task 3 (Team Task),0,16:03,Romesh Ranganathan,Team Task,25 August 2015,1-4,27-Mar-1978,male,UK
1,5,Little Denim Shorts,5,Make this Swedish person blush as deeply as possible. You have 10 minutes. Your time starts now.,Task 4,4,,Romesh Ranganathan,Task,25 August 2015,1-4,27-Mar-1978,male,UK
1,5,Little Denim Shorts,6,Blow up the biggest balloon whilst blindfolded. You have 100 seconds and one balloon.,Live Task,3,,Romesh Ranganathan,Live Task,25 August 2015,1-4,27-Mar-1978,male,UK
1,6,The Last Supper,1,Most satisfying item.,Prize task,3,His vape mod.,Romesh Ranganathan,Prize Task,1 September 2015,1-4,27-Mar-1978,male,UK
1,6,The Last Supper,2,Get the lowest golf score using eggs. You must complete the five holes using chickens eggs. Your score will be calculated as follows: shots times eggs times minutes. Your time starts now.,Task 1,1,"35,088 points",Romesh Ranganathan,Task,1 September 2015,1-4,27-Mar-1978,male,UK
1,6,The Last Supper,3,Stage a realistic blooper from a home movie. The Taskmaster will give points to the best filmmakers. You have one hour. Your time starts now.,Task 2 (Team Task),0,,Romesh Ranganathan,Team Task,1 September 2015,1-4,27-Mar-1978,male,UK
1,6,The Last Supper,4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet. You have a total of two hours. Your time starts now.,Task 3,4,,Romesh Ranganathan,Task,1 September 2015,1-4,27-Mar-1978,male,UK
1,6,The Last Supper,5,"Wearing boxing gloves, put the blue sweets in the empty bowl. Most blue sweets wins. Non-blue sweets will be subtracted from your total. You have 100 seconds.",Live Task,4,12,Romesh Ranganathan,Live Task,1 September 2015,1-4,27-Mar-1978,male,UK
1,1,Melon Buffet,1,Most unusual item.,Prize task,2,A photo of a bench a tramp had carved words into.,Roisin Conaty,Prize Task,28 July 2015,1-3,26-Mar-1979,female,UK
1,1,Melon Buffet,2,In the lab there is a watermelon. Eat as much watermelon as possible. You have one minute. Your time starts when you open the door to the lab.,Task 1,1,9g,Roisin Conaty,Task,28 July 2015,1-3,26-Mar-1979,female,UK
1,1,Melon Buffet,3,"Paint the best picture of a horse, whilst riding a horse.",Task 2,1,moved from third to last due to her riding a mechanical horse rather than a real horse.,Roisin Conaty,Task,28 July 2015,1-3,26-Mar-1979,female,UK
1,1,Melon Buffet,4,"Completely empty this bathtub. Fastest wins. You must not remove the plug, tip or damage the bath. Your time starts now.",Task 3,2,DNF,Roisin Conaty,Task,28 July 2015,1-3,26-Mar-1979,female,UK
1,1,Melon Buffet,5,"Pop up a tent, get in the tent, zip up the tent, put on a onesie in the tent, and emerge from the tent wearing the onesie. Fastest wins.",Live Task,1,,Roisin Conaty,Live Task,28 July 2015,1-3,26-Mar-1979,female,UK
1,2,The Pie Whisperer,1,Most impressive item.,Prize task,3,A Methuselah of champagne (8 standard bottles worth).,Roisin Conaty,Prize Task,4 August 2015,1-3,26-Mar-1979,female,UK
1,2,The Pie Whisperer,2,High-five a 55-year-old. Fastest wins. Your time starts now.,Task 1,4,6:12,Roisin Conaty,Task,4 August 2015,1-3,26-Mar-1979,female,UK
1,2,The Pie Whisperer,3,"Identify the contents of these pies. You may touch the pies, but you may not breach their pastry. Most accurate wins. Your time starts now.",Task 2,4,,Roisin Conaty,Task,4 August 2015,1-3,26-Mar-1979,female,UK
1,2,The Pie Whisperer,4,"Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards, that will look impressive when the footage is played in reverse. Your time starts now.",Task 3,5,,Roisin Conaty,Task,4 August 2015,1-3,26-Mar-1979,female,UK
1,2,The Pie Whisperer,5,"Crack the code, unshackle yourself and sprint one metre. Fastest wins.",Live Task,5,,Roisin Conaty,Live Task,4 August 2015,1-3,26-Mar-1979,female,UK
1,3,The Poet And The Egg,1,Most meaningful item.,Prize task,1,A dictionary.,Roisin Conaty,Prize Task,11 August 2015,1-3,26-Mar-1979,female,UK
1,3,The Poet And The Egg,2,Throw a teabag into a mug from the furthest distance. You have exactly one hour. Your time starts now.,Task 1,2,2.4m,Roisin Conaty,Task,11 August 2015,1-3,26-Mar-1979,female,UK
1,3,The Poet And The Egg,3,"Using this device to track your route, create the best image for Taskmaster. You have one hour. Your time starts when you take your first step. Pop a balloon to signal you have finished your image.",Task 2,1,,Roisin Conaty,Task,11 August 2015,1-3,26-Mar-1979,female,UK
1,3,The Poet And The Egg,4,Buy a gift for the Taskmaster. Here is £20. You have ten weeks. Your time starts now.,Task 3,4,A mouse called Greg and £3 worth of scratch-cards.,Roisin Conaty,Task,11 August 2015,1-3,26-Mar-1979,female,UK
1,3,The Poet And The Egg,5,"Using only the items currently on this table, get this egg as high as possible. Highest wins. The egg must not break. You have 20 minutes. Your time starts now.",Task 4,0,All break the egg.,Roisin Conaty,Task,11 August 2015,1-3,26-Mar-1979,female,UK
1,3,The Poet And The Egg,6,Stand up after 100 seconds. Most accurate wins.,Live Task,1,,Roisin Conaty,Live Task,11 August 2015,1-3,26-Mar-1979,female,UK
1,4,Down An Octave,1,Most beautiful item.,Prize task,2,A colourful cardigan.,Roisin Conaty,Prize Task,18 August 2015,1-3,26-Mar-1979,female,UK
1,4,Down An Octave,2,Make this ice block disappear as fast as possible. You have one hour. Your time starts now.,Task 1,3,30:20,Roisin Conaty,Task,18 August 2015,1-3,26-Mar-1979,female,UK
1,4,Down An Octave,5,Get to 11 points as fast as possible. Your time starts now.,Task 2 (Team Task),2,11:12,Roisin Conaty,Team Task,18 August 2015,1-3,26-Mar-1979,female,UK
1,4,Down An Octave,6,Fill an eggcup with as many tears as possible. You have 20 minutes. Your time starts now.,Task 3,1,0,Roisin Conaty,Task,18 August 2015,1-3,26-Mar-1979,female,UK
1,4,Down An Octave,8,Memorise the names of an Australian rules football team. Most accurate wins.,Live Task,1,1,Roisin Conaty,Live Task,18 August 2015,1-3,26-Mar-1979,female,UK
1,5,Little Denim Shorts,1,Most valuable item.,Prize task,1,A fake diamond ring worth £12.,Roisin Conaty,Prize Task,25 August 2015,1-3,26-Mar-1979,female,UK
1,5,Little Denim Shorts,2,Get this boulder as far away from this place as possible. You have one hour. Your time starts now.,Task 1,1,300 yards.,Roisin Conaty,Task,25 August 2015,1-3,26-Mar-1979,female,UK
1,5,Little Denim Shorts,3,Grow the longest nail. You have 10 weeks. Your time starts now.,Task 2,2,1.8cm,Roisin Conaty,Task,25 August 2015,1-3,26-Mar-1979,female,UK
1,5,Little Denim Shorts,4,Make this bed to a hotel standard while holding hands. The time ends when you get into the bed. Fastest wins. Hold hands now. Your time starts now.,Task 3 (Team Task),0,16:03,Roisin Conaty,Team Task,25 August 2015,1-3,26-Mar-1979,female,UK
1,5,Little Denim Shorts,5,Make this Swedish person blush as deeply as possible. You have 10 minutes. Your time starts now.,Task 4,5,,Roisin Conaty,Task,25 August 2015,1-3,26-Mar-1979,female,UK
1,5,Little Denim Shorts,6,Blow up the biggest balloon whilst blindfolded. You have 100 seconds and one balloon.,Live Task,5,,Roisin Conaty,Live Task,25 August 2015,1-3,26-Mar-1979,female,UK
1,6,The Last Supper,1,Most satisfying item.,Prize task,1,An orgasmatron head massager.,Roisin Conaty,Prize Task,1 September 2015,1-3,26-Mar-1979,female,UK
1,6,The Last Supper,2,Get the lowest golf score using eggs. You must complete the five holes using chickens eggs. Your score will be calculated as follows: shots times eggs times minutes. Your time starts now.,Task 1,5,"1,000 points",Roisin Conaty,Task,1 September 2015,1-3,26-Mar-1979,female,UK
1,6,The Last Supper,3,Stage a realistic blooper from a home movie. The Taskmaster will give points to the best filmmakers. You have one hour. Your time starts now.,Task 2 (Team Task),0,,Roisin Conaty,Team Task,1 September 2015,1-3,26-Mar-1979,female,UK
1,6,The Last Supper,4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet. You have a total of two hours. Your time starts now.,Task 3,1,,Roisin Conaty,Task,1 September 2015,1-3,26-Mar-1979,female,UK
1,6,The Last Supper,5,"Wearing boxing gloves, put the blue sweets in the empty bowl. Most blue sweets wins. Non-blue sweets will be subtracted from your total. You have 100 seconds.",Live Task,1,"-2,143",Roisin Conaty,Live Task,1 September 2015,1-3,26-Mar-1979,female,UK
1,1,Melon Buffet,1,Most unusual item.,Prize task,1,"A football signed by the Plymouth Argyle squad, with the signatures faded from it.",Josh Widdicombe,Prize Task,28 July 2015,1-2,8-Apr-1983,male,UK
1,1,Melon Buffet,2,In the lab there is a watermelon. Eat as much watermelon as possible. You have one minute. Your time starts when you open the door to the lab.,Task 1,3,218g,Josh Widdicombe,Task,28 July 2015,1-2,8-Apr-1983,male,UK
1,1,Melon Buffet,3,"Paint the best picture of a horse, whilst riding a horse.",Task 2,3,,Josh Widdicombe,Task,28 July 2015,1-2,8-Apr-1983,male,UK
1,1,Melon Buffet,4,"Completely empty this bathtub. Fastest wins. You must not remove the plug, tip or damage the bath. Your time starts now.",Task 3,3,8:52,Josh Widdicombe,Task,28 July 2015,1-2,8-Apr-1983,male,UK
